Frame,Total Movement
1,1446.782
2,1283.4688
3,1223.0854
4,1201.1005
5,1306.1482
6,1166.346
7,1170.0962
8,1054.9718
9,950.908
10,804.2059
11,711.29626
12,718.2171
13,773.41125
14,861.901
15,717.22455
16,902.0266
17,794.3356
18,865.19385
19,746.39954
20,859.0665
21,861.96875
22,768.60077
23,783.49194
24,822.3746
25,798.17993
26,773.1312
27,747.7677
28,759.58606
29,1061.0735
30,963.8834
31,767.36926
32,830.0614
33,807.9757
34,802.6233
35,742.73004
36,990.5786
37,795.44824
38,767.605
39,750.74365
40,706.7945
41,739.7831
42,747.22766
43,743.41736
44,807.59314
45,823.6709
46,754.49896
47,751.0874
48,681.8163
49,727.8612
50,794.3419
51,799.0049
52,767.802
53,830.02954
54,786.8008
55,736.9702
56,683.01776
57,824.8983
58,686.4349
59,1111.1509
60,832.4515
61,848.48694
62,723.95825
63,765.3269
64,685.11865
65,642.9644
66,696.4153
67,672.6878
68,649.5206
69,761.90295
70,797.6517
71,734.60126
72,675.3562
73,698.8593
74,723.4772
75,637.58154
76,579.9221
77,789.81433
78,705.6061
79,670.5618
80,742.1441
81,673.22144
82,657.15405
83,665.59875
84,615.55505
85,767.74615
86,741.1745
87,622.5436
88,693.96265
89,991.5066
90,713.6152
91,587.87537
92,647.76624
93,604.0702
94,524.854
95,746.09845
96,597.43665
97,639.9002
98,591.0073
99,627.59155
100,639.96423
101,709.6222
102,673.48096
103,561.26984
104,681.76697
105,603.46484
106,674.40564
107,548.59436
108,674.96014
109,603.32166
110,642.1117
111,630.7174
112,602.69275
113,671.88257
114,607.04364
115,609.80023
116,615.5166
117,597.8577
118,533.4901
119,872.64417
120,699.18054
121,672.07996
122,605.74817
123,552.6314
124,617.2792
125,573.74
126,522.74884
127,704.0492
128,578.2303
129,613.1089
130,621.58624
131,676.81775
132,601.65674
133,526.5907
134,585.63055
135,561.1741
136,576.7923
137,493.59506
138,600.334
139,581.516
140,541.99786
141,642.706
142,552.97705
143,539.12976
144,511.60532
145,560.56305
146,562.25024
147,590.6921
148,544.08777
149,820.9326
150,795.25146
151,538.45624
152,496.59784
153,546.8535
154,565.73425
155,536.48846
156,546.4075
157,479.3073
158,530.5038
159,610.31934
160,541.9003
161,670.10535
162,581.1704
163,549.12115
164,669.7003
165,630.0747
166,494.25732
167,470.77307
168,596.3182
169,550.59784
170,604.73596
171,604.95233
172,558.2015
173,558.89355
174,527.11755
175,550.2262
176,537.9603
177,544.38586
178,535.12823
179,714.1144
180,615.43097
181,548.5171
182,619.1358
183,523.03076
184,497.48175
185,569.93066
186,512.6399
187,583.0703
188,558.29126
189,549.4822
190,573.63574
191,554.21265
192,572.51495
193,593.9629
194,529.9624
195,511.54553
196,505.2775
197,470.4173
198,603.00757
199,538.95636
200,533.26953
201,524.90283
202,491.81415
203,535.2508
204,529.0575
205,491.97278
206,479.93713
207,445.63782
208,517.69165
209,737.3186
210,634.5614
211,521.984
212,489.77533
213,613.40735
214,601.7471
215,644.3121
216,469.88098
217,634.2642
218,521.5602
219,478.16647
220,470.98126
221,547.7581
222,528.5562
223,559.6979
224,610.4289
225,547.1781
226,451.90082
227,576.9527
228,563.0346
229,558.2184
230,578.1699
231,572.3002
232,520.75433
233,503.13928
234,479.85413
235,523.6246
236,544.01996
237,437.94855
238,419.29398
239,730.48553
240,638.98517
241,581.72876
242,622.9901
243,621.53754
244,557.7328
245,531.492
246,565.0585
247,419.06183
248,511.2085
249,497.17087
250,541.1331
251,498.0576
252,543.0781
253,515.06995
254,527.99457
255,485.0597
256,448.69608
257,460.75537
258,558.183
259,475.31854
260,464.56702
261,448.2983
262,533.5762
263,498.0682
264,441.2541
265,563.959
266,530.7003
267,463.79816
268,525.0716
269,681.9697
270,586.1405
271,493.5011
272,544.55664
273,552.5878
274,520.57336
275,456.73788
276,562.37915
277,467.6049
278,503.3389
279,448.85873
280,545.4402
281,501.7234
282,504.04474
283,469.2852
284,529.90356
285,435.49835
286,473.1978
287,447.83545
288,552.96576
289,524.1282
290,509.38773
291,516.16406
292,514.40643
293,566.10736
294,511.01398
295,549.34546
296,493.94833
297,417.8941
298,576.0042
299,872.81274
300,883.1217
301,641.91003
302,1102.2323
303,795.0847
304,639.7721
305,834.307
306,691.44165
307,521.7938
308,678.3412
309,764.40094
310,536.50726
311,512.1587
312,737.02625
313,654.2164
314,592.2199
315,700.9018
316,634.7395
317,522.30066
318,765.08203
319,1374.9845
320,799.8275
321,1108.4369
322,1703.8284
323,1041.5898
324,822.86304
325,1441.165
326,1024.6735
327,506.4671
