Frame,Total Movement
0,1.640035606292357
1,1.265976058853256
2,1.6311681062272452
3,1.8287539095491976
4,1.411082096237073
5,0.9431124690281149
6,2.1069279072447595
7,1.3645723020875609
8,1.393244132017478
9,1.1536941528320312
10,1.2420320805815077
11,1.6139692826704546
12,1.675105578278842
13,1.1643226847929113
14,1.269800249314466
15,1.3392330942755917
16,1.0037429863488294
17,1.1382389512172966
18,1.1188203912032277
19,1.0352996092072058
20,1.0498051346440018
21,2.5072110615079364
22,1.6020955814656987
23,1.1970936624627364
24,1.2156533920726837
25,1.34447214659617
26,1.5696055094401042
27,1.9200987996934336
28,0.9917063679728475
29,1.5344209169086658
